Name,NamePattern,Chapter_num,Position
贾宝玉,宝玉,1,4127
香菱,英莲,1,3093
香菱,英莲,1,4293
香菱,英莲,1,4409
香菱,英莲,1,6446
香菱,英莲,1,6468
香菱,英莲,1,6492
贾雨村,贾雨村,1,4729
贾雨村,贾雨村,1,5231
贾雨村,雨村,1,4720
贾雨村,雨村,1,4730
贾雨村,雨村,1,4836
贾雨村,雨村,1,4938
贾雨村,雨村,1,5002
贾雨村,雨村,1,5047
贾雨村,雨村,1,5068
贾雨村,雨村,1,5120
贾雨村,雨村,1,5232
贾雨村,雨村,1,5297
贾雨村,雨村,1,5352
贾雨村,雨村,1,5387
贾雨村,雨村,1,5436
贾雨村,雨村,1,5441
贾雨村,雨村,1,5551
贾雨村,雨村,1,5620
贾雨村,雨村,1,5631
贾雨村,雨村,1,5726
贾雨村,雨村,1,5859
贾雨村,雨村,1,5987
贾雨村,雨村,1,6233
贾雨村,雨村,1,6275
贾雨村,雨村,1,6310
贾雨村,雨村,1,6318
贾雨村,时飞,1,4715
贾雨村,时飞,1,5603
甄士隐,甄士隐,1,61
甄士隐,甄士隐,1,3025
甄士隐,甄士隐,1,3871
甄士隐,士隐,1,62
甄士隐,士隐,1,2985
甄士隐,士隐,1,3026
甄士隐,士隐,1,3110
甄士隐,士隐,1,3872
甄士隐,士隐,1,3924
甄士隐,士隐,1,4029
甄士隐,士隐,1,4096
甄士隐,士隐,1,4099
甄士隐,士隐,1,4223
甄士隐,士隐,1,4252
甄士隐,士隐,1,4298
甄士隐,士隐,1,4405
甄士隐,士隐,1,4422
甄士隐,士隐,1,4453
甄士隐,士隐,1,4484
甄士隐,士隐,1,4554
甄士隐,士隐,1,4654
甄士隐,士隐,1,4686
甄士隐,士隐,1,4826
甄士隐,士隐,1,4840
甄士隐,士隐,1,4871
甄士隐,士隐,1,4975
甄士隐,士隐,1,5035
甄士隐,士隐,1,5379
甄士隐,士隐,1,5409
甄士隐,士隐,1,5609
甄士隐,士隐,1,5668
甄士隐,士隐,1,5759
甄士隐,士隐,1,5923
甄士隐,士隐,1,6053
甄士隐,士隐,1,6272
甄士隐,士隐,1,6407
甄士隐,士隐,1,6437
甄士隐,士隐,1,6536
甄士隐,士隐,1,6616
甄士隐,士隐,1,6811
甄士隐,士隐,1,6881
甄士隐,士隐,1,6960
甄士隐,士隐,1,7019
甄士隐,士隐,1,7090
甄士隐,士隐,1,7348
甄士隐,士隐,1,7459
甄士隐,士隐,1,7519
甄士隐,士隐,1,7776
鸳鸯,鸳鸯,1,7610
李嬷嬷,奶母,1,4288
贾宝玉,宝玉,2,3238
贾宝玉,宝玉,2,4327
林黛玉,黛玉,2,1160
贾政,贾政,2,2994
贾政,贾政,2,3022
贾琏,贾琏,2,5572
贾元春,元春,2,5006
贾元春,元春,2,5197
贾赦,贾赦,2,2989
贾赦,贾赦,2,3014
贾探春,探春,2,5056
贾惜春,惜春,2,5073
贾雨村,雨村,2,397
贾雨村,雨村,2,491
贾雨村,雨村,2,558
贾雨村,雨村,2,601
贾雨村,雨村,2,619
贾雨村,雨村,2,629
贾雨村,雨村,2,663
贾雨村,雨村,2,809
贾雨村,雨村,2,1220
贾雨村,雨村,2,1297
贾雨村,雨村,2,1459
贾雨村,雨村,2,1582
贾雨村,雨村,2,1671
贾雨村,雨村,2,1709
贾雨村,雨村,2,1782
贾雨村,雨村,2,1814
贾雨村,雨村,2,1838
贾雨村,雨村,2,1858
贾雨村,雨村,2,1989
贾雨村,雨村,2,2018
贾雨村,雨村,2,2071
贾雨村,雨村,2,2110
贾雨村,雨村,2,2142
贾雨村,雨村,2,2270
贾雨村,雨村,2,2312
贾雨村,雨村,2,2630
贾雨村,雨村,2,3253
贾雨村,雨村,2,3509
贾雨村,雨村,2,3600
贾雨村,雨村,2,4277
贾雨村,雨村,2,4429
贾雨村,雨村,2,5105
贾雨村,雨村,2,5276
贾雨村,雨村,2,5468
贾雨村,雨村,2,5738
贾雨村,雨村,2,5821
贾雨村,雨村,2,5871
贾雨村,雨村,2,5936
贾雨村,雨村,2,5953
甄士隐,士隐,2,668
贾蓉,贾蓉,2,2879
贾迎春,迎春,2,5041
贾珍,贾珍,2,2812
贾敬,贾敬,2,2772
贾代善,贾代善,2,2956
贾宝玉,宝玉,3,5013
贾宝玉,宝玉,3,5925
贾宝玉,宝玉,3,5943
贾宝玉,宝玉,3,6192
贾宝玉,宝玉,3,6214
贾宝玉,宝玉,3,6316
贾宝玉,宝玉,3,6428
贾宝玉,宝玉,3,6589
贾宝玉,宝玉,3,6714
贾宝玉,宝玉,3,6756
贾宝玉,宝玉,3,6825
贾宝玉,宝玉,3,6882
贾宝玉,宝玉,3,6906
贾宝玉,宝玉,3,6922
贾宝玉,宝玉,3,6955
贾宝玉,宝玉,3,7026
贾宝玉,宝玉,3,7123
贾宝玉,宝玉,3,7207
贾宝玉,宝玉,3,7235
贾宝玉,宝玉,3,7439
贾宝玉,宝玉,3,7484
贾宝玉,宝玉,3,7539
贾宝玉,宝玉,3,7823
贾宝玉,宝玉,3,7874
贾宝玉,宝玉,3,7879
贾宝玉,宝玉,3,7908
贾宝玉,宝玉,3,7911
贾宝玉,宝玉,3,7979
贾宝玉,宝玉,3,7991
贾宝玉,宝玉,3,7996
贾宝玉,宝玉,3,8007
贾宝玉,宝玉,3,8021
林黛玉,林黛玉,3,972
林黛玉,林黛玉,3,1351
林黛玉,黛玉,3,601
林黛玉,黛玉,3,704
林黛玉,黛玉,3,748
林黛玉,黛玉,3,939
林黛玉,黛玉,3,973
林黛玉,黛玉,3,1186
林黛玉,黛玉,3,1346
林黛玉,黛玉,3,1352
林黛玉,黛玉,3,1538
林黛玉,黛玉,3,1566
林黛玉,黛玉,3,1622
林黛玉,黛玉,3,1641
林黛玉,黛玉,3,1682
林黛玉,黛玉,3,1716
林黛玉,黛玉,3,1896
林黛玉,黛玉,3,1931
林黛玉,黛玉,3,2017
林黛玉,黛玉,3,2047
林黛玉,黛玉,3,2111
林黛玉,黛玉,3,2355
林黛玉,黛玉,3,2577
林黛玉,黛玉,3,2640
林黛玉,黛玉,3,2670
林黛玉,黛玉,3,2724
林黛玉,黛玉,3,2744
林黛玉,黛玉,3,2979
林黛玉,黛玉,3,3326
林黛玉,黛玉,3,3405
林黛玉,黛玉,3,3449
林黛玉,黛玉,3,3534
林黛玉,黛玉,3,3544
林黛玉,黛玉,3,3640
林黛玉,黛玉,3,3766
林黛玉,黛玉,3,3798
林黛玉,黛玉,3,3893
林黛玉,黛玉,3,3929
林黛玉,黛玉,3,4012
林黛玉,黛玉,3,4281
林黛玉,黛玉,3,4449
林黛玉,黛玉,3,4467
林黛玉,黛玉,3,4501
林黛玉,黛玉,3,4591
林黛玉,黛玉,3,4668
林黛玉,黛玉,3,4678
林黛玉,黛玉,3,4714
林黛玉,黛玉,3,4887
林黛玉,黛玉,3,5232
林黛玉,黛玉,3,5268
林黛玉,黛玉,3,5340
林黛玉,黛玉,3,5410
林黛玉,黛玉,3,5502
林黛玉,黛玉,3,5515
林黛玉,黛玉,3,5554
林黛玉,黛玉,3,5710
林黛玉,黛玉,3,5758
林黛玉,黛玉,3,5837
林黛玉,黛玉,3,5843
林黛玉,黛玉,3,5858
林黛玉,黛玉,3,5931
林黛玉,黛玉,3,6148
林黛玉,黛玉,3,6830
林黛玉,黛玉,3,6857
林黛玉,黛玉,3,6899
林黛玉,黛玉,3,6913
林黛玉,黛玉,3,7057
林黛玉,黛玉,3,7076
林黛玉,黛玉,3,7471
林黛玉,黛玉,3,7645
林黛玉,黛玉,3,7711
林黛玉,黛玉,3,7742
林黛玉,黛玉,3,7815
林黛玉,黛玉,3,8034
林黛玉,黛玉,3,8069
林黛玉,黛玉,3,8223
林黛玉,黛玉,3,8314
林黛玉,黛玉,3,8410
林黛玉,颦颦,3,6939
林黛玉,林姑娘,3,1530
林黛玉,林姑娘,3,3057
林黛玉,林姑娘,3,4571
林黛玉,林姑娘,3,7502
林黛玉,林姑娘,3,8096
林黛玉,林妹妹,3,6989
袭人,袭人,3,7838
袭人,袭人,3,7855
袭人,袭人,3,7893
袭人,袭人,3,7932
袭人,袭人,3,7946
袭人,袭人,3,7950
袭人,袭人,3,8081
袭人,袭人,3,8164
袭人,袭人,3,8262
贾母,老太太,3,1495
贾母,老太太,3,3710
贾母,老太太,3,5089
贾母,老太太,3,5252
贾母,老祖宗,3,2806
贾母,老祖宗,3,2827
贾母,老祖宗,3,2965
贾母,老祖宗,3,7569
贾母,贾母,3,1676
贾母,贾母,3,1724
贾母,贾母,3,1956
贾母,贾母,3,2295
贾母,贾母,3,2586
贾母,贾母,3,2762
贾母,贾母,3,2873
贾母,贾母,3,3316
贾母,贾母,3,3367
贾母,贾母,3,4006
贾母,贾母,3,5423
贾母,贾母,3,5481
贾母,贾母,3,5522
贾母,贾母,3,5564
贾母,贾母,3,5784
