Name,NamePattern,Count
贾宝玉,贾宝玉,16
贾宝玉,宝玉,3964
贾宝玉,宝二爷,95
贾宝玉,怡红公子,3
贾宝玉,绛洞花主,1
贾宝玉,宝兄弟,59
林黛玉,林黛玉,278
林黛玉,黛玉,1369
林黛玉,颦颦,1
林黛玉,颦儿,18
林黛玉,潇湘妃子,9
林黛玉,林姑娘,134
林黛玉,林妹妹,95
薛宝钗,薛宝钗,25
薛宝钗,宝钗,1070
薛宝钗,蘅芜君,6
薛宝钗,宝姐姐,79
薛宝钗,宝丫头,30
薛宝钗,宝姑娘,62
香菱,香菱,264
香菱,甄英莲,0
香菱,英莲,14
香菱,秋菱,11
香菱,菱姑娘,2
香菱,菱姐姐,1
袭人,袭人,1144
袭人,蕊珠,1
袭人,花珍珠,0
袭人,花大姑娘,0
柳湘莲,冷面二郎,0
柳湘莲,柳湘莲,22
柳湘莲,湘莲,86
晴雯,晴雯,342
贾母,史太君,0
贾母,老太太,968
贾母,老祖宗,82
贾母,贾母,1681
王熙凤,凤姐儿,481
王熙凤,王熙凤,9
王熙凤,凤姐,1735
王熙凤,琏二奶奶,31
王熙凤,凤辣子,2
王熙凤,凤哥儿,6
王熙凤,凤丫头,64
王熙凤,熙凤,19
王夫人,王夫人,1067
贾政,贾存周,1
贾政,贾政,933
贾政,存周,2
贾琏,琏二爷,34
贾琏,贾琏,766
邢夫人,大太太,55
邢夫人,邢夫人,287
尤二姐,尤二姐,91
尤三姐,尤三姐,34
贾元春,贾元春,2
贾元春,元春,18
贾元春,娘娘,48
贾元春,贵妃,27
贾元春,大姑娘,14
贾元春,元妃,44
贾元春,贾妃,37
刘姥姥,母蝗虫,3
刘姥姥,刘姥姥,290
巧姐,巧哥儿,1
巧姐,大姐儿,17
巧姐,妞妞,3
巧姐,大妞妞,1
巧姐,巧姐,105
贾赦,贾恩侯,0
贾赦,贾赦,194
贾探春,三姑娘,44
贾探春,玫瑰花,5
贾探春,蕉下客,4
贾探春,贾探春,0
贾探春,探春,440
贾惜春,惜春,195
贾惜春,贾惜春,1
贾惜春,四姑娘,31
贾惜春,四丫头,11
贾惜春,藕榭,3
贾惜春,藕丫头,1
李纨,李纨,368
贾环,贾环,152
贾环,环哥,13
贾环,环三爷,0
赵姨娘,赵姨娘,133
妙玉,槛外人,4
妙玉,妙玉,152
妙玉,畸人,3
王子腾,王子腾,25
史湘云,史湘云,87
史湘云,湘云,417
史湘云,枕霞旧友,3
史湘云,史大姑娘,5
史湘云,云妹妹,1
薛姨妈,薛姨妈,456
夏金桂,夏金桂,3
夏金桂,金桂,152
薛蟠,呆霸王,1
薛蟠,薛蟠,288
薛蝌,薛蝌,103
贾雨村,贾雨村,17
贾雨村,雨村,183
贾雨村,时飞,5
薛宝琴,薛宝琴,5
甄士隐,甄士隐,9
甄士隐,士隐,74
贾蓉,贾蓉,230
贾迎春,二姑娘,17
贾迎春,贾迎春,2
贾迎春,迎春,143
贾迎春,菱洲,10
贾迎春,二木头,1
秦可卿,秦氏,74
秦可卿,可卿,5
秦可卿,秦可卿,0
秦可卿,蓉大奶奶,9
秦可卿,可儿,1
秦可卿,兼美,1
尤氏,大奶奶,92
尤氏,珍大奶奶,14
尤氏,珍哥儿媳妇,1
尤氏,尤氏,343
贾珍,贾珍,387
邢岫烟,邢岫烟,22
贾敬,贾敬,20
茄官,茄官,1
银蝶儿,银蝶儿,0
来升,来升,12
喜儿,喜儿,7
寿儿,寿儿,3
栓儿,栓儿,0
入画,入画,19
彩屏,彩屏,27
彩儿,彩儿,1
瑞珠,瑞珠,1
宝珠,宝珠,7
焦大,焦大,16
王兴,王兴,5
潘又安,潘又安,2
鸳鸯,鸳鸯,415
文官,文官,18
琥珀,琥珀,58
蕊珠,蕊珠,1
翡翠,翡翠,5
玻璃,玻璃,28
傻大姐,傻大姐,9
