MainName,Synonym,Count
丰儿,丰儿,35
佳蕙,佳蕙,6
傻大姐,傻大姐,8
史湘云,湘云,315
史湘云,史湘云,76
司棋,司棋,47
同喜,同喜,3
周瑞,周瑞,26
善姐,善姐,2
喜儿,喜儿,5
四儿,四儿,14
墨雨,墨雨,5
夏金桂,金桂,90
夏金桂,夏金桂,3
妙玉,妙玉,63
妙玉,畸人,3
媚人,媚人,1
小舍儿,小舍儿,3
小螺,小螺,6
小霞,小霞,1
尤三姐,尤三姐,33
尤二姐,尤二姐,81
尤氏,尤氏,216
尤老娘,尤老娘,15
巧姐,巧姐,36
巧姐,妞妞,3
平儿,平儿,596
引泉,引泉,3
彩云,彩云,56
彩儿,彩儿,1
彩屏,彩屏,26
彩明,彩明,5
彩霞,彩霞,23
抱琴,抱琴,1
挑云,挑云,1
文官,文官,15
文杏,文杏,2
旺儿,旺儿,41
春燕,春燕,17
昭儿,昭儿,5
晴雯,晴雯,325
李嬷嬷,奶母,5
林之孝,林之孝,131
林黛玉,黛玉,474
林黛玉,林黛玉,259
林黛玉,林姑娘,128
林黛玉,林妹妹,84
柳五儿,柳五儿,3
檀云,檀云,3
潘又安,潘又安,2
焦大,焦大,8
王信,王信,4
王善保,王善保,27
王夫人,王夫人,1007
玻璃,玻璃,22
琥珀,琥珀,57
碧痕,碧痕,14
秋桐,秋桐,24
秦可卿,秦氏,51
秦可卿,可卿,3
篆儿,篆儿,2
素云,素云,8
翠墨,翠墨,11
翡翠,翡翠,4
良儿,良儿,1
艾官,艾官,3
芳官,芳官,80
茄官,茄官,1
茜雪,茜雪,1
葵官,葵官,4
薛蟠,薛蟠,184
豆官,豆官,3
贾元春,娘娘,48
贾元春,元妃,24
贾元春,元春,18
贾元春,大姑娘,14
贾惜春,惜春,73
贾探春,探春,418
贾探春,玫瑰花,5
贾母,老太太,895
贾母,老祖宗,75
贾迎春,迎春,141
贾迎春,菱洲,10
贾雨村,雨村,133
邢夫人,邢夫人,271
隆儿,隆儿,8
雪雁,雪雁,42
香菱,香菱,253
香菱,秋菱,8
