MainName,Synonym,Count
丰儿,丰儿,41
佳蕙,佳蕙,10
傻大姐,傻大姐,7
入画,入畫,16
刘姥姥,劉姥姥,276
刘姥姥,母蝗虫,2
史湘云,湘云,323
史湘云,史湘云,81
史湘云,史大姑娘,5
史湘云,云妹妹,1
司棋,司棋,78
同喜,同喜,3
同贵,同貴,3
周奶妈,周奶媽,1
周瑞,周瑞,54
周瑞家的,周瑞家的,153
善姐,善姐,3
喜儿,喜儿,7
四儿,四儿,20
墨雨,墨雨,7
夏金桂,金桂,144
夏金桂,夏金桂,3
妙玉,妙玉,148
妙玉,畸人,3
媚人,媚人,1
宋嬷嬷,宋嬤嬤,7
宝珠,寶珠,7
宝蟾,寶蟾,114
小红,小紅,40
小舍儿,小舍儿,3
小蝉,小蟬,3
小螺,小螺,8
小霞,小霞,1
尤三姐,尤三姐,33
尤二姐,尤二姐,81
尤氏,尤氏,335
尤氏,大奶奶,64
尤氏,珍大奶奶,14
尤老娘,尤老娘,15
巧姐,巧姐,101
巧姐,大姐儿,15
巧姐,妞妞,2
巧姐,大妞妞,1
平儿,平儿,661
引泉,引泉,3
彩云,彩云,57
彩儿,彩儿,1
彩哥,彩哥,1
彩屏,彩屏,26
彩明,彩明,15
彩霞,彩霞,23
抱琴,抱琴,1
挑云,挑云,1
文官,文官,16
文杏,文杏,2
旺儿,旺儿,71
春燕,春燕,32
春纤,春纖,2
昭儿,昭儿,8
晴雯,晴雯,329
李嬷嬷,李嬤嬤,36
李嬷嬷,奶母,8
李贵,李貴,41
林之孝,林之孝,131
林黛玉,黛玉,1059
林黛玉,林黛玉,259
林黛玉,林姑娘,130
林黛玉,林妹妹,84
林黛玉,顰儿,18
林黛玉,顰顰,1
柳五儿,柳五儿,3
檀云,檀云,5
潘又安,潘又安,2
焦大,焦大,16
王信,王信,5
王善保,王善保,27
王夫人,王夫人,1007
王熙凤,鳳姐,1225
王熙凤,鳳姐儿,449
王熙凤,璉二奶奶,29
王熙凤,熙鳳,11
王熙凤,王熙鳳,9
王熙凤,鳳哥儿,6
王熙凤,鳳辣子,1
玻璃,玻璃,27
琥珀,琥珀,57
琪官,琪官,13
瑞珠,瑞珠,1
碧月,碧月,5
碧痕,碧痕,14
秋桐,秋桐,33
秦可卿,秦氏,69
秦可卿,蓉大奶奶,9
秦可卿,可卿,5
秦可卿,兼美,1
秦可卿,可儿,1
篆儿,篆儿,3
素云,素云,14
绣凤,繡鳳,2
翠墨,翠墨,24
翡翠,翡翠,4
臻儿,臻儿,3
良儿,良儿,1
艾官,艾官,4
芳官,芳官,152
茄官,茄官,1
茜雪,茜雪,10
葵官,葵官,7
蕊官,蕊官,22
薛姨妈,薛姨媽,435
薛宝琴,薛寶琴,5
薛宝钗,寶釵,1022
薛宝钗,寶姐姐,70
薛宝钗,寶姑娘,58
薛宝钗,薛寶釵,24
薛蝌,薛蝌,101
薛蟠,薛蟠,279
薛蟠,呆霸王,1
藕官,藕官,34
豆官,豆官,4
贾代善,賈代善,1
贾元春,娘娘,48
贾元春,元妃,44
贾元春,賈妃,33
贾元春,貴妃,27
贾元春,元春,16
贾元春,大姑娘,9
贾元春,賈元春,2
贾兰,賈蘭,89
贾宝玉,寶玉,3802
贾宝玉,寶兄弟,56
贾宝玉,賈寶玉,17
贾宝玉,怡紅公子,3
贾惜春,惜春,189
贾惜春,四姑娘,25
贾惜春,藕榭,3
贾惜春,賈惜春,1
贾探春,探春,424
贾探春,三姑娘,40
贾探春,玫瑰花,5
贾探春,蕉下客,3
贾政,賈政,917
贾政,賈存周,1
贾敬,賈敬,19
贾母,賈母,1614
贾母,老太太,895
贾母,老祖宗,75
贾环,賈環,147
贾环,環哥,12
贾珍,賈珍,382
贾琏,賈璉,737
贾瑞,賈瑞,70
贾芸,賈芸,186
贾蓉,賈蓉,224
贾蔷,賈薔,62
贾赦,賈赦,191
贾迎春,迎春,139
贾迎春,二姑娘,14
贾迎春,菱洲,10
贾迎春,賈迎春,2
贾雨村,雨村,161
贾雨村,賈雨村,18
赵姨娘,趙姨娘,125
赵嬷嬷,趙嬤嬤,12
邢夫人,邢夫人,271
邢夫人,大太太,55
隆儿,隆儿,8
雪雁,雪雁,141
香菱,香菱,257
香菱,秋菱,11
香菱,菱姑娘,2
香菱,菱姐姐,1
麝月,麝月,220
