Name,Count
贾宝玉,4138
贾母,2731
王熙凤,2347
林黛玉,1904
薛宝钗,1272
袭人,1145
王夫人,1067
贾政,936
贾琏,800
平儿,691
史湘云,513
贾探春,493
薛姨妈,456
尤氏,450
紫鹃,448
鸳鸯,415
贾珍,387
李纨,368
邢夫人,342
晴雯,342
刘姥姥,293
香菱,292
薛蟠,289
贾惜春,242
麝月,232
贾蓉,230
周瑞,216
贾雨村,205
贾赦,194
贾芸,191
贾元春,190
贾迎春,173
周瑞家的,168
贾环,165
芳官,161
妙玉,159
夏金桂,155
雪雁,151
林之孝,143
赵姨娘,133
莺儿,130
巧姐,127
宝蟾,116
柳湘莲,108
秦钟,106
薛蝌,103
秋纹,99
贾兰,93
尤二姐,91
秦可卿,90
茗烟,88
甄士隐,83
司棋,81
旺儿,74
贾瑞,72
贾蔷,69
兴儿,59
冯紫英,58
琥珀,58
彩云,57
玉钏,52
金钏,50
翠缕,48
李嬷嬷,45
丰儿,45
李贵,42
琪官,41
小红,40
坠儿,36
秋桐,35
藕官,34
尤三姐,34
春燕,33
玻璃,28
王善保,28
彩屏,27
侍书,27
李纹,26
王子腾,25
翠墨,24
张道士,24
彩霞,23
邢岫烟,22
蕊官,22
贾敬,20
四儿,20
李绮,20
入画,19
文官,18
尤老娘,16
焦大,16
素云,15
彩明,15
碧痕,14
赵嬷嬷,13
豆官,13
来升,12
锄药,11
茜雪,10
佳蕙,10
傻大姐,9
小螺,8
昭儿,8
隆儿,8
莲花儿,8
墨雨,8
葵官,7
喜儿,7
宝珠,7
宋嬷嬷,7
碧月,6
鹦鹉,6
翡翠,5
薛宝琴,5
绮霰,5
王信,5
王兴,5
扫红,4
檀云,4
艾官,4
费婆子,3
柳五儿,3
庆儿,3
引泉,3
小蝉,3
善姐,3
同贵,3
同喜,3
寿儿,3
紫绡,3
臻儿,3
小舍儿,3
篆儿,3
春纤,2
文杏,2
潘又安,2
扫花,2
绣鸾,2
伴鹤,2
绣凤,2
双瑞,1
小霞,1
媚人,1
双寿,1
周奶妈,1
彩鸾,1
抱琴,1
彩哥,1
彩儿,1
茄官,1
贾代善,1
蕊珠,1
豆童,1
良儿,1
瑞珠,1
挑云,1
来旺妇,0
琴韵,0
柱儿媳妇,0
柱儿妈,0
王妈妈,0
栓儿,0
绣橘,0
银蝶儿,0
青芸,0
